name,city,country,website
Dickinson,?,?,?
Harvard University,Cambridge,USA,?
Korea Polar Research Institute (KOPRI),Incheon,South Korea,https://eng.kopri.re.kr/eng/
Louisina State University (LSU),Baton Rouge,USA,?
Peking University (PKU),Beijing,China,?
Pennsylvania State University (PSU),State College Pennsylvania,USA,https://www.psice.psu.edu/ 
Potsdam Institute for Climate Impact Research (PIK),Potsdam,Germany,https://www.pik-potsdam.de/ice
University of Alaska Fairbanks (UAF),Fairbanks,USA,https://glaciers.gi.alaska.edu/
University of Chicago (UC),Chicago,USA,https://geosci.uchicago.edu/research/atmospheres-oceans-ice-and-climate/,?
University of Maine,Orono,USA,https://umaine.edu/earthclimate/research/climate-change/
University of New South Wales (UNSW),Sydney,Australia,http://www.essrc.unsw.edu.au/
University of Northern British Columbia (UNBC),Prince George,Canada,?
University of Tasmania (UTAS),Hobart,Australia,https://www.imas.utas.edu.au/research/oceans-and-cryosphere
University of Washingtion (UW),Seattle,USA,https://earthweb.ess.washington.edu/Glaciology/ 
Victoria University of Wellingtion (VUW),Wellington,New Zealand,https://www.wgtn.ac.nz/antarctic/research/glacial-modelling
Yale University,New Haven,USA,?

